"day","node","q05","q5","q95","mean","q10","q25","q75","q90","q025","q975","measure","date"
1,"P1_B_BCap_Blos_BArr",41.45,46,53,46.96,42,45,49.75,51.1,41,55.325,"niq",2023-01-01
2,"P1_B_BCap_Blos_BArr",27.45,32,40,32.66,28,30,34,37,27,40.775,"niq",2023-01-02
3,"P1_B_BCap_Blos_BArr",20,26,38.55,26.54,21,23,28,34.1,19.225,39.775,"niq",2023-01-03
4,"P1_B_BCap_Blos_BArr",13.45,24,35,24.56,17.8,20.25,29,34,11.45,35.775,"niq",2023-01-04
5,"P1_B_BCap_Blos_BArr",12,22,32.55,23.3,13.9,19,29.5,31.1,10.45,33.775,"niq",2023-01-05
6,"P1_B_BCap_Blos_BArr",10.8,24,35.55,24.36,14.9,20,30,34.1,9,36,"niq",2023-01-06
7,"P1_B_BCap_Blos_BArr",11.8,27.5,41,27.44,15.9,23,32.75,40,9.225,41.775,"niq",2023-01-07
8,"P1_B_BCap_Blos_BArr",4.45,21.5,36.55,21.2,6,16.25,27.5,32.2,3.225,38.55,"niq",2023-01-08
9,"P1_B_BCap_Blos_BArr",0,15.5,29.55,15.68,0.9,11,20,28.1,0,35.425,"niq",2023-01-09
10,"P1_B_BCap_Blos_BArr",0,14,27.65,13.78,0,8,20,23.1,0,32.1,"niq",2023-01-10
11,"P1_B_BCap_Blos_BArr",0,16,31.55,15.62,1.8,8.5,21,29.1,0,35.875,"niq",2023-01-11
12,"P1_B_BCap_Blos_BArr",0,16,30.55,15.34,0,8,21,27.2,0,35.65,"niq",2023-01-12
13,"P1_B_BCap_Blos_BArr",0,17.5,38,17.3,0,10.25,22.75,28,0,40.325,"niq",2023-01-13
14,"P1_B_BCap_Blos_BArr",1.35,23,39.2,22.08,7,17,28,34.2,0,45.65,"niq",2023-01-14
15,"P1_B_BCap_Blos_BArr",0,17,33.65,17.32,0,11.25,23,28.3,0,41.2,"niq",2023-01-15
16,"P1_B_BCap_Blos_BArr",0,11.5,30.1,12.76,0,6,19.75,23.4,0,37.975,"niq",2023-01-16
17,"P1_B_BCap_Blos_BArr",0,9,28.55,11.96,0,4.25,19,24.1,0,39.85,"niq",2023-01-17
18,"P1_B_BCap_Blos_BArr",0,11.5,29.1,12.8,0,3.5,18.75,26,0,42.4,"niq",2023-01-18
19,"P1_B_BCap_Blos_BArr",0,12.5,31.75,13.3,0,3,20.5,27,0,40.2,"niq",2023-01-19
20,"P1_B_BCap_Blos_BArr",0,16,38,15.84,0,2.25,23,30.1,0,42.65,"niq",2023-01-20
21,"P1_B_BCap_Blos_BArr",0,20,45.65,20.36,0.9,9,27.75,39.1,0,48.55,"niq",2023-01-21
22,"P1_B_BCap_Blos_BArr",0,15.5,41.3,16.3,0,5.25,24,35,0,44.775,"niq",2023-01-22
23,"P1_B_BCap_Blos_BArr",0,10,39.2,12.28,0,0.25,17.75,27.6,0,47.975,"niq",2023-01-23
24,"P1_B_BCap_Blos_BArr",0,7.5,39.2,11.04,0,0,16.75,25,0,44.875,"niq",2023-01-24
25,"P1_B_BCap_Blos_BArr",0,10,38.3,12.96,0,0,20.75,31.1,0,49.525,"niq",2023-01-25
26,"P1_B_BCap_Blos_BArr",0,9.5,41.85,13.32,0,0.25,20.75,31.3,0,49.65,"niq",2023-01-26
27,"P1_B_BCap_Blos_BArr",0,11,49.6,15.14,0,3.25,23.5,29.6,0,55.775,"niq",2023-01-27
28,"P1_B_BCap_Blos_BArr",0,14.5,54.7,19.14,0.9,6.5,30,37,0,62.55,"niq",2023-01-28
29,"P1_B_BCap_Blos_BArr",0,12.5,51.8999999999999,15.64,0,1.25,25.75,31.1,0,61.55,"niq",2023-01-29
30,"P1_B_BCap_Blos_BArr",0,7.5,45.8999999999999,11.98,0,0,19.5,24.3,0,57.875,"niq",2023-01-30
31,"P1_B_BCap_Blos_BArr",0,6,44.25,11.48,0,0,19,24,0,54.875,"niq",2023-01-31
32,"P1_B_BCap_Blos_BArr",0,3.5,47.7,12.26,0,0,20,27.4,0,57.875,"niq",2023-02-01
33,"P1_B_BCap_Blos_BArr",0,6,43.6,12.54,0,0,21.75,30.5,0,55.975,"niq",2023-02-02
34,"P1_B_BCap_Blos_BArr",0,10,46.05,14.66,0,0,22,32.8,0,58.75,"niq",2023-02-03
35,"P1_B_BCap_Blos_BArr",0,14.5,49.4,18.46,0,5,27.5,39.4,0,66.175,"niq",2023-02-04
36,"P1_B_BCap_Blos_BArr",0,10.5,44.75,14.36,0,0,21.75,36.1,0,57.075,"niq",2023-02-05
37,"P1_B_BCap_Blos_BArr",0,4.5,39.55,11.26,0,0,18.75,30.1,0,50.075,"niq",2023-02-06
38,"P1_B_BCap_Blos_BArr",0,3.5,36.65,10.2,0,0,14.75,30.1,0,48.85,"niq",2023-02-07
39,"P1_B_BCap_Blos_BArr",0,4.5,38.4,11.62,0,0,16,30.2,0,52.075,"niq",2023-02-08
40,"P1_B_BCap_Blos_BArr",0,6,38.55,11.86,0,0,16.75,30.6,0,51.4,"niq",2023-02-09
41,"P1_B_BCap_Blos_BArr",0,8.5,43.85,13.72,0,2,18.75,36,0,50.875,"niq",2023-02-10
42,"P1_B_BCap_Blos_BArr",0,11.5,47.95,17,0,3.25,22,41,0,57.425,"niq",2023-02-11
43,"P1_B_BCap_Blos_BArr",0,7,44.75,13.76,0,0,20.5,33.1,0,53.975,"niq",2023-02-12
44,"P1_B_BCap_Blos_BArr",0,2.5,40.4,10.6,0,0,15.5,25.3,0,47.875,"niq",2023-02-13
45,"P1_B_BCap_Blos_BArr",0,2,38.85,10.14,0,0,14.5,27.4,0,46.65,"niq",2023-02-14
46,"P1_B_BCap_Blos_BArr",0,3,39.85,11.04,0,0,16.75,27.2,0,46.1,"niq",2023-02-15
47,"P1_B_BCap_Blos_BArr",0,6,36.3,11.66,0,0,18,30,0,41.325,"niq",2023-02-16
48,"P1_B_BCap_Blos_BArr",0,9,42.7,13.7,0,1,19.75,31.3,0,51.325,"niq",2023-02-17
49,"P1_B_BCap_Blos_BArr",0,13,45.25,16.98,0,2.25,24.75,35.1,0,62.075,"niq",2023-02-18
50,"P1_B_BCap_Blos_BArr",0,8.5,39.4,13.38,0,0,19,30.3,0,60.05,"niq",2023-02-19
51,"P1_B_BCap_Blos_BArr",0,3,32.85,9.88,0,0,14.5,23.2,0,55.375,"niq",2023-02-20
52,"P1_B_BCap_Blos_BArr",0,0,33.4,9.02,0,0,13,27.1,0,51.725,"niq",2023-02-21
53,"P1_B_BCap_Blos_BArr",0,3.5,33.55,10.32,0,0,17,28.1,0,54.925,"niq",2023-02-22
54,"P1_B_BCap_Blos_BArr",0,3,33.3,10.72,0,0,17,29,0,58.475,"niq",2023-02-23
55,"P1_B_BCap_Blos_BArr",0,6,37.4,12.56,0,0,19.75,29.2,0,64.25,"niq",2023-02-24
56,"P1_B_BCap_Blos_BArr",0,10,42.4,15.78,0,3.5,20.75,32.2,0,65.375,"niq",2023-02-25
57,"P1_B_BCap_Blos_BArr",0,5,35.85,12.54,0,0,19,28.1,0,61.475,"niq",2023-02-26
58,"P1_B_BCap_Blos_BArr",0,0,28.75,9.52,0,0,18,22.2,0,58.8999999999999,"niq",2023-02-27
59,"P1_B_BCap_Blos_BArr",0,0,28.4,8.5,0,0,12.75,20.2,0,57.575,"niq",2023-02-28
60,"P1_B_BCap_Blos_BArr",0,1,30.2,9.96,0,0,15.75,25.1,0,56.8,"niq",2023-03-01
61,"P1_B_BCap_Blos_BArr",0,3.5,31.1,10.74,0,0,14.75,28.1,0,59.125,"niq",2023-03-02
62,"P1_B_BCap_Blos_BArr",0,5,34.55,11.78,0,0,17.25,27.5,0,54.375,"niq",2023-03-03
63,"P1_B_BCap_Blos_BArr",0,9.5,45.2,15.34,0,2.5,20,37.1,0,62.5,"niq",2023-03-04
64,"P1_B_BCap_Blos_BArr",0,5,42.4,12.2,0,0,14,34.4,0,58.4,"niq",2023-03-05
65,"P1_B_BCap_Blos_BArr",0,0,36.55,8.94,0,0,9.5,30.4,0,53.275,"niq",2023-03-06
66,"P1_B_BCap_Blos_BArr",0,0,38.55,8.74,0,0,7,30.6,0,52.95,"niq",2023-03-07
67,"P1_B_BCap_Blos_BArr",0,0,43.55,9.4,0,0,7.75,30.9,0,49.425,"niq",2023-03-08
68,"P1_B_BCap_Blos_BArr",0,0,46.85,10.36,0,0,12.75,31.5,0,50.775,"niq",2023-03-09
69,"P1_B_BCap_Blos_BArr",0,4.5,49.6,12.76,0,0,16.75,36.2,0,55.775,"niq",2023-03-10
70,"P1_B_BCap_Blos_BArr",0,8,56.25,16.18,0,3.25,19,38.1,0,66.875,"niq",2023-03-11
71,"P1_B_BCap_Blos_BArr",0,6.5,49.05,13.28,0,0,13.75,35.1,0,61.75,"niq",2023-03-12
72,"P1_B_BCap_Blos_BArr",0,2,42.05,9.94,0,0,8.75,30.3,0,53.975,"niq",2023-03-13
73,"P1_B_BCap_Blos_BArr",0,0.5,38.95,9.44,0,0,9,33,0,52.3,"niq",2023-03-14
74,"P1_B_BCap_Blos_BArr",0,2.5,39.85,11.04,0,0,10.75,33,0,53.85,"niq",2023-03-15
75,"P1_B_BCap_Blos_BArr",0,2.5,41.6,11.16,0,0,11,31.2,0,62.5,"niq",2023-03-16
76,"P1_B_BCap_Blos_BArr",0,7,40.05,13.36,0,0.25,15.75,31.1,0,62.825,"niq",2023-03-17
77,"P1_B_BCap_Blos_BArr",0,12,47.85,16.92,0,4.5,19,40.1,0,68.825,"niq",2023-03-18
78,"P1_B_BCap_Blos_BArr",0,8,44.65,13.02,0,0,12.75,36.2,0,63.825,"niq",2023-03-19
79,"P1_B_BCap_Blos_BArr",0,1,39.3,9.66,0,0,7.75,30.5,0,59.825,"niq",2023-03-20
80,"P1_B_BCap_Blos_BArr",0,0,38.75,8.88,0,0,7.5,29.4,0,57.275,"niq",2023-03-21
81,"P1_B_BCap_Blos_BArr",0,1,44.4,10.5,0,0,8.75,35.4,0,65.825,"niq",2023-03-22
82,"P1_B_BCap_Blos_BArr",0,2,44.85,10.58,0,0,8,35.2,0,65.05,"niq",2023-03-23
83,"P1_B_BCap_Blos_BArr",0,4.5,53.95,12.38,0,0,12,31.8,0,65.75,"niq",2023-03-24
84,"P1_B_BCap_Blos_BArr",0,8.5,60.95,15.88,0,4.25,17,41.1,0,71.2,"niq",2023-03-25
85,"P1_B_BCap_Blos_BArr",0,4.5,61.05,12.52,0,0.25,13,37.4,0,69.875,"niq",2023-03-26
86,"P1_B_BCap_Blos_BArr",0,0,57.05,9.46,0,0,9.5,31.2,0,65.1,"niq",2023-03-27
87,"P1_B_BCap_Blos_BArr",0,0,55.05,8.9,0,0,8.25,31.2,0,65.425,"niq",2023-03-28
88,"P1_B_BCap_Blos_BArr",0,0,53.4,9.4,0,0,7.75,36.4,0,69.4,"niq",2023-03-29
89,"P1_B_BCap_Blos_BArr",0,2,52.95,9.74,0,0,9.5,35.1,0,69.4,"niq",2023-03-30
90,"P1_B_BCap_Blos_BArr",0,4.5,57.3,12.56,0,0,14,34.4,0,74.725,"niq",2023-03-31
91,"P1_B_BCap_Blos_BArr",0,8.5,61.85,15.76,0,0,20.5,44.3,0,81.275,"niq",2023-04-01
92,"P1_B_BCap_Blos_BArr",0,4.5,56.4,12.72,0,0,13.75,44,0,73.175,"niq",2023-04-02
93,"P1_B_BCap_Blos_BArr",0,0,48.95,9.66,0,0,9.5,38.1,0,65.4,"niq",2023-04-03
94,"P1_B_BCap_Blos_BArr",0,0,46.95,9.02,0,0,7.75,37.2,0,61.85,"niq",2023-04-04
95,"P1_B_BCap_Blos_BArr",0,0,52.2,10.1,0,0,11.5,40.2,0,59.425,"niq",2023-04-05
96,"P1_B_BCap_Blos_BArr",0,0,55.3,10,0,0,10.5,33.6,0,59.55,"niq",2023-04-06
97,"P1_B_BCap_Blos_BArr",0,2,57.5,11.68,0,0,13,37.2,0,64.325,"niq",2023-04-07
98,"P1_B_BCap_Blos_BArr",0,6.5,63.8,14.8,0,2.25,19,36.6,0,71.775,"niq",2023-04-08
99,"P1_B_BCap_Blos_BArr",0,2,60.25,11.8,0,0,14.75,32.4,0,68.55,"niq",2023-04-09
100,"P1_B_BCap_Blos_BArr",0,0,54.5,9.08,0,0,7.75,26.6,0,62.875,"niq",2023-04-10
101,"P1_B_BCap_Blos_BArr",0,0,49.05,8.96,0,0,6.5,27.5,0,57.875,"niq",2023-04-11
102,"P1_B_BCap_Blos_BArr",0,0,53.85,10.64,0,0,10.75,30.4,0,64.75,"niq",2023-04-12
103,"P1_B_BCap_Blos_BArr",0,0.5,57.25,10.78,0,0,10.5,30.1,0,66.325,"niq",2023-04-13
104,"P1_B_BCap_Blos_BArr",0,3.5,59.65,12.54,0,0,11.75,32.2,0,64.875,"niq",2023-04-14
105,"P1_B_BCap_Blos_BArr",0,9.5,63.55,16.1,0,1,16,36.7,0,70.2,"niq",2023-04-15
106,"P1_B_BCap_Blos_BArr",0,3,55,12.5,0,0,12.5,35.4,0,63.525,"niq",2023-04-16
107,"P1_B_BCap_Blos_BArr",0,0,53.2,9.82,0,0,6.75,27.5,0,59.65,"niq",2023-04-17
108,"P1_B_BCap_Blos_BArr",0,0,49.65,9.3,0,0,7.5,29.2,0,59.525,"niq",2023-04-18
109,"P1_B_BCap_Blos_BArr",0,1,49.2,9.9,0,0,10.25,28.1,0,60.3,"niq",2023-04-19
110,"P1_B_BCap_Blos_BArr",0,2.5,52.2,10.9,0,0,11.5,27.1,0,65.625,"niq",2023-04-20
111,"P1_B_BCap_Blos_BArr",0,4.5,56.5,12.26,0,0,11.5,30.1,0,63.325,"niq",2023-04-21
112,"P1_B_BCap_Blos_BArr",0,9,61.75,15.46,0,0,17,32.5,0,74.075,"niq",2023-04-22
113,"P1_B_BCap_Blos_BArr",0,3.5,57,12.36,0,0,11.75,31.2,0,69.4,"niq",2023-04-23
114,"P1_B_BCap_Blos_BArr",0,0,52,9.46,0,0,9.5,25.3,0,62.075,"niq",2023-04-24
115,"P1_B_BCap_Blos_BArr",0,0,50.2,8.88,0,0,6,22.7,0,61.3,"niq",2023-04-25
116,"P1_B_BCap_Blos_BArr",0,0,52.75,9.68,0,0,10,26.1,0,59.65,"niq",2023-04-26
117,"P1_B_BCap_Blos_BArr",0,1,49.65,9.92,0,0,10.25,24.3,0,59.525,"niq",2023-04-27
118,"P1_B_BCap_Blos_BArr",0,3,53.55,11.2,0,0,10,24.1,0,59.425,"niq",2023-04-28
119,"P1_B_BCap_Blos_BArr",0,7,59.05,14.38,0,1,14.5,33,0,64.775,"niq",2023-04-29
120,"P1_B_BCap_Blos_BArr",0,2.5,54.75,11.08,0,0,11.75,25.3,0,57.775,"niq",2023-04-30
121,"P1_B_BCap_Blos_BArr",0,0,46.1,8.28,0,0,5,21.4,0,52.425,"niq",2023-05-01
122,"P1_B_BCap_Blos_BArr",0,0,41.3,8.16,0,0,6,25.2,0,49.425,"niq",2023-05-02
123,"P1_B_BCap_Blos_BArr",0,0,42.4,9.1,0,0,9,28.1,0,46.775,"niq",2023-05-03
124,"P1_B_BCap_Blos_BArr",0,1.5,40.55,9.9,0,0,11,28.1,0,44.875,"niq",2023-05-04
125,"P1_B_BCap_Blos_BArr",0,3,40.65,10.92,0,0,13.75,26.6,0,45.1,"niq",2023-05-05
126,"P1_B_BCap_Blos_BArr",0,7.5,44.1,14.72,0,1,20.25,33.4,0,51.2,"niq",2023-05-06
127,"P1_B_BCap_Blos_BArr",0,2.5,39.65,11.34,0,0,15.5,29.5,0,44.875,"niq",2023-05-07
128,"P1_B_BCap_Blos_BArr",0,0,36.3,8.8,0,0,12.5,23.5,0,40.55,"niq",2023-05-08
129,"P1_B_BCap_Blos_BArr",0,0,34.1,8.2,0,0,10.75,25.2,0,35.775,"niq",2023-05-09
130,"P1_B_BCap_Blos_BArr",0,0,31,8.98,0,0,15.75,25.4,0,34.875,"niq",2023-05-10
131,"P1_B_BCap_Blos_BArr",0,0,32.55,9.62,0,0,20.75,26,0,33.775,"niq",2023-05-11
132,"P1_B_BCap_Blos_BArr",0,2,36,11.46,0,0,21,32.3,0,42.975,"niq",2023-05-12
133,"P1_B_BCap_Blos_BArr",0,6,39.65,14.26,0,0,21,38,0,44.875,"niq",2023-05-13
134,"P1_B_BCap_Blos_BArr",0,2.5,34.55,11.38,0,0,19.25,33.1,0,41.975,"niq",2023-05-14
135,"P1_B_BCap_Blos_BArr",0,0,31.1,8.92,0,0,11.5,29,0,38.2,"niq",2023-05-15
136,"P1_B_BCap_Blos_BArr",0,0,33.55,8.52,0,0,10.75,30.2,0,37.1,"niq",2023-05-16
137,"P1_B_BCap_Blos_BArr",0,0,34.65,9.84,0,0,14.5,31.1,0,38.325,"niq",2023-05-17
138,"P1_B_BCap_Blos_BArr",0,1.5,35.1,9.86,0,0,12,32.1,0,39.875,"niq",2023-05-18
139,"P1_B_BCap_Blos_BArr",0,5,37.55,11.76,0,0,19.25,32.1,0,44.2,"niq",2023-05-19
140,"P1_B_BCap_Blos_BArr",0,9,44.85,14.86,0,1,21.5,36.4,0,52.65,"niq",2023-05-20
141,"P1_B_BCap_Blos_BArr",0,6.5,41.3,12.14,0,0,18,31.5,0,45.55,"niq",2023-05-21
142,"P1_B_BCap_Blos_BArr",0,1,37.55,9.26,0,0,13.75,26.2,0,41.1,"niq",2023-05-22
143,"P1_B_BCap_Blos_BArr",0,0,37.95,8.42,0,0,13.75,24.1,0,42.775,"niq",2023-05-23
144,"P1_B_BCap_Blos_BArr",0,1,37.75,9.3,0,0,14.75,28.1,0,43.1,"niq",2023-05-24
145,"P1_B_BCap_Blos_BArr",0,4,36.2,9.94,0,0,13,30.2,0,42.65,"niq",2023-05-25
146,"P1_B_BCap_Blos_BArr",0,4,38.55,10.98,0,0,15.75,36.1,0,45.975,"niq",2023-05-26
147,"P1_B_BCap_Blos_BArr",0,7.5,43,13.44,0,1,18.5,35.3,0,49.975,"niq",2023-05-27
148,"P1_B_BCap_Blos_BArr",0,4.5,39.55,10.7,0,0,13,32.3,0,46.2,"niq",2023-05-28
149,"P1_B_BCap_Blos_BArr",0,0,36,7.86,0,0,6,25.5,0,42.975,"niq",2023-05-29
150,"P1_B_BCap_Blos_BArr",0,0,35.1,6.86,0,0,4,24.3,0,43.75,"niq",2023-05-30
151,"P1_B_BCap_Blos_BArr",0,0,34.1,7.46,0,0,6,21.7,0,45.85,"niq",2023-05-31
152,"P1_B_BCap_Blos_BArr",0,1,39.4,7.72,0,0,7,24.1,0,45.325,"niq",2023-06-01
153,"P1_B_BCap_Blos_BArr",0,5,41.55,9.76,0,0,10.75,24.6,0,47.425,"niq",2023-06-02
154,"P1_B_BCap_Blos_BArr",0,8.5,49.65,13.88,0,3,16.5,31.8,0,55.65,"niq",2023-06-03
155,"P1_B_BCap_Blos_BArr",0,4,47.85,11.02,0,0,13,25.8,0,54.1,"niq",2023-06-04
156,"P1_B_BCap_Blos_BArr",0,0,42.4,7.86,0,0,8,21.6,0,46.775,"niq",2023-06-05
157,"P1_B_BCap_Blos_BArr",0,0,41.1,7.66,0,0,8,19.6,0,42.775,"niq",2023-06-06
158,"P1_B_BCap_Blos_BArr",0,1.5,42.1,9.3,0,0,11.5,25,0,44.55,"niq",2023-06-07
159,"P1_B_BCap_Blos_BArr",0,4,41.75,10.48,0,0,13.75,25.8,0,46.325,"niq",2023-06-08
160,"P1_B_BCap_Blos_BArr",0,5.5,44.95,11.9,0,0,12,31.9,0,49,"niq",2023-06-09
161,"P1_B_BCap_Blos_BArr",0,12,47.85,16.46,0,4.5,19,38.2,0,55.65,"niq",2023-06-10
162,"P1_B_BCap_Blos_BArr",0,7,43.7,12.8,0,2,16.75,35,0,52.325,"niq",2023-06-11
163,"P1_B_BCap_Blos_BArr",0,0.5,37.95,8.96,0,0,10,26.1,0,45.875,"niq",2023-06-12
164,"P1_B_BCap_Blos_BArr",0,1.5,38.05,8.4,0,0,8,19.7,0,46.1,"niq",2023-06-13
165,"P1_B_BCap_Blos_BArr",0,4,39.5,10.26,0,0,12.75,24.7,0,47.1,"niq",2023-06-14
166,"P1_B_BCap_Blos_BArr",0,4,37.7,10.74,0,0,14,26.3,0,46.325,"niq",2023-06-15
167,"P1_B_BCap_Blos_BArr",0,5,38.75,12.6,0,1,16,33.2,0,44.875,"niq",2023-06-16
168,"P1_B_BCap_Blos_BArr",0,11,45.65,16.14,0,4,20.75,33,0,53.2,"niq",2023-06-17
169,"P1_B_BCap_Blos_BArr",0,7.5,40.2,12.88,0,0,18.75,27.8,0,48.975,"niq",2023-06-18
170,"P1_B_BCap_Blos_BArr",0,2,33.1,9.72,0,0,13.75,25.3,0,41.75,"niq",2023-06-19
171,"P1_B_BCap_Blos_BArr",0,0.5,27.65,9.06,0,0,11,22.3,0,37.525,"niq",2023-06-20
172,"P1_B_BCap_Blos_BArr",0,3,26.55,10,0,0,15.75,23.1,0,37.075,"niq",2023-06-21
173,"P1_B_BCap_Blos_BArr",0,3,29.2,10.8,0,0,16.75,25.1,0,41.85,"niq",2023-06-22
174,"P1_B_BCap_Blos_BArr",0,5.5,32.75,12.7,0,0,21.5,29,0,41.975,"niq",2023-06-23
175,"P1_B_BCap_Blos_BArr",0,11,38.1,16.32,0,3,22.75,33.3,0,45.2,"niq",2023-06-24
176,"P1_B_BCap_Blos_BArr",0,5.5,34.65,12.74,0,0,18,30.3,0,40.65,"niq",2023-06-25
177,"P1_B_BCap_Blos_BArr",0,0,32.65,9.66,0,0,12.75,25.4,0,34,"niq",2023-06-26
178,"P1_B_BCap_Blos_BArr",0,0,30.2,9.12,0,0,11.75,24.3,0,34.325,"niq",2023-06-27
179,"P1_B_BCap_Blos_BArr",0,1.5,36.65,9.98,0,0,15.5,23.3,0,38.775,"niq",2023-06-28
180,"P1_B_BCap_Blos_BArr",0,3,38.1,9.86,0,0,15,21.1,0,39.775,"niq",2023-06-29
181,"P1_B_BCap_Blos_BArr",0,6,40.55,12.2,0,0,17.75,24.6,0,44.875,"niq",2023-06-30
1,"P1_B_BCap_Blos_BArr",91.2,92,92,91.816,91.6,91.6,92,92,91.2,92,"occ",2023-01-01
2,"P1_B_BCap_Blos_BArr",91.2,92,92,91.728,91.2,91.6,92,92,91.2,92,"occ",2023-01-02
3,"P1_B_BCap_Blos_BArr",91.2,91.6,92,91.632,91.2,91.2,92,92,91.2,92,"occ",2023-01-03
4,"P1_B_BCap_Blos_BArr",91.2,92,92,91.696,91.2,91.2,92,92,91.2,92,"occ",2023-01-04
5,"P1_B_BCap_Blos_BArr",91.2,91.6,92,91.656,91.2,91.2,92,92,91.2,92,"occ",2023-01-05
6,"P1_B_BCap_Blos_BArr",91.2,92,92,91.736,91.2,91.6,92,92,91.2,92,"occ",2023-01-06
7,"P1_B_BCap_Blos_BArr",91.2,92,92,91.752,91.2,91.6,92,92,91.2,92,"occ",2023-01-07
8,"P1_B_BCap_Blos_BArr",91.2,91.6,92,91.608,91.2,91.3,92,92,90.89,92,"occ",2023-01-08
9,"P1_B_BCap_Blos_BArr",85.7,91.6,92,90.968,90.56,91.2,92,92,82.63,92,"occ",2023-01-09
10,"P1_B_BCap_Blos_BArr",81.3,91.6,92,90.52,89.28,91.2,92,92,79.16,92,"occ",2023-01-10
11,"P1_B_BCap_Blos_BArr",82.82,91.6,92,90.784,90.64,91.2,92,92,79.96,92,"occ",2023-01-11
12,"P1_B_BCap_Blos_BArr",84.2,91.6,92,90.72,90,91.2,92,92,78.68,92,"occ",2023-01-12
13,"P1_B_BCap_Blos_BArr",84.66,91.6,92,90.888,90.28,91.2,92,92,81.29,92,"occ",2023-01-13
14,"P1_B_BCap_Blos_BArr",90.76,91.6,92,91.536,91.2,91.2,92,92,89.78,92,"occ",2023-01-14
15,"P1_B_BCap_Blos_BArr",86.38,91.6,92,91.04,91.04,91.2,92,92,83.16,92,"occ",2023-01-15
16,"P1_B_BCap_Blos_BArr",75.6,91.6,92,89.44,77.16,91.2,92,92,72.81,92,"occ",2023-01-16
17,"P1_B_BCap_Blos_BArr",77.12,91.6,92,89.576,79.56,91.2,92,92,74.85,92,"occ",2023-01-17
18,"P1_B_BCap_Blos_BArr",80.9,91.6,92,90.416,86.76,91.2,92,92,78.45,92,"occ",2023-01-18
19,"P1_B_BCap_Blos_BArr",81.96,91.6,92,90.408,87.44,91.2,92,92,81.29,92,"occ",2023-01-19
20,"P1_B_BCap_Blos_BArr",83.56,91.6,92,90.528,86.92,91.2,92,92,81.96,92,"occ",2023-01-20
21,"P1_B_BCap_Blos_BArr",86.28,91.6,92,90.824,90.52,91.2,92,92,80.86,92,"occ",2023-01-21
22,"P1_B_BCap_Blos_BArr",76.98,91.2,92,89.456,82.44,90.8,91.9,92,74.01,92,"occ",2023-01-22
23,"P1_B_BCap_Blos_BArr",68.8,91.2,92,88.016,77.44,90.8,92,92,67.56,92,"occ",2023-01-23
24,"P1_B_BCap_Blos_BArr",71.46,91.4,92,87.76,77.52,85.6,92,92,66.54,92,"occ",2023-01-24
25,"P1_B_BCap_Blos_BArr",72.78,91.4,92,88.92,83.6,90.1,91.9,92,70.49,92,"occ",2023-01-25
26,"P1_B_BCap_Blos_BArr",75.56,91.4,92,88.48,79.48,90.5,92,92,70.24,92,"occ",2023-01-26
27,"P1_B_BCap_Blos_BArr",80.14,91.6,92,90.16,86.08,91.2,92,92,77.74,92,"occ",2023-01-27
28,"P1_B_BCap_Blos_BArr",85.16,91.6,92,90.736,90.52,91.2,92,92,80.15,92,"occ",2023-01-28
29,"P1_B_BCap_Blos_BArr",81.52,91.2,92,89.864,86.4,91.2,92,92,73.67,92,"occ",2023-01-29
30,"P1_B_BCap_Blos_BArr",72.76,91.2,92,86.936,77.2,84,91.9,92,64.96,92,"occ",2023-01-30
31,"P1_B_BCap_Blos_BArr",72.82,91.2,92,86.52,76.4,81.1,91.6,92,70.27,92,"occ",2023-01-31
32,"P1_B_BCap_Blos_BArr",74.9,91.6,92,88.328,79.68,87.2,92,92,73.69,92,"occ",2023-02-01
33,"P1_B_BCap_Blos_BArr",78.94,91.4,92,88.536,81.48,84.8,92,92,75.61,92,"occ",2023-02-02
34,"P1_B_BCap_Blos_BArr",80.4,91.4,92,89.408,83.52,89.2,92,92,76.37,92,"occ",2023-02-03
35,"P1_B_BCap_Blos_BArr",87.52,91.6,92,90.888,90.6,91.2,92,92,82.77,92,"occ",2023-02-04
36,"P1_B_BCap_Blos_BArr",77.38,91.4,92,88.888,81.52,90.5,92,92,71.93,92,"occ",2023-02-05
37,"P1_B_BCap_Blos_BArr",70.52,91.2,92,86.272,74.76,83.1,91.6,92,66.14,92,"occ",2023-02-06
38,"P1_B_BCap_Blos_BArr",71.74,91.2,92,85.704,73.56,81.2,92,92,65.31,92,"occ",2023-02-07
39,"P1_B_BCap_Blos_BArr",75.44,91.2,92,87.92,79.36,85.7,92,92,71.52,92,"occ",2023-02-08
40,"P1_B_BCap_Blos_BArr",80.72,91.6,92,89.32,83.08,90.4,92,92,75.97,92,"occ",2023-02-09
41,"P1_B_BCap_Blos_BArr",79.48,91.4,92,89.416,82.68,91.2,91.6,92,76.54,92,"occ",2023-02-10
42,"P1_B_BCap_Blos_BArr",87.3,91.6,92,90.744,90.32,91.2,92,92,79.89,92,"occ",2023-02-11
43,"P1_B_BCap_Blos_BArr",79.48,91.2,92,89.176,84.2,89.6,91.6,92,74.37,92,"occ",2023-02-12
44,"P1_B_BCap_Blos_BArr",73.38,91,92,85.616,74.32,78.9,91.9,92,71.03,92,"occ",2023-02-13
45,"P1_B_BCap_Blos_BArr",70.98,90.8,92,85.968,73.88,83.2,91.6,92,67.7,92,"occ",2023-02-14
46,"P1_B_BCap_Blos_BArr",75.12,91.2,92,87.456,79.44,83.9,91.6,92,64.48,92,"occ",2023-02-15
